Ligand,Super,Pellet,Fibril,Cochaperone
0,2931,619,Rnq1,none
0,984,178,Rnq1,none
4,3959,861,Rnq1,none
8,4004,584,Rnq1,none
8,481,73,Rnq1,none
12,3307,836,Rnq1,none
20,3640,433,Rnq1,none
20,1531,433,Rnq1,none
40,3399,861,Rnq1,none
40,1059,362,Rnq1,none
0,695,27,Rnq1,deltaDD
0,457,23,Rnq1,deltaDD
0,1921,75,Rnq1,deltaDD
4,2152,64,Rnq1,deltaDD
4,342,31,Rnq1,deltaDD
4,1970,55,Rnq1,deltaDD
8,419,101,Rnq1,deltaDD
8,794,44,Rnq1,deltaDD
8,1826,41,Rnq1,deltaDD
12,1819,30,Rnq1,deltaDD
12,511,24,Rnq1,deltaDD
12,1692,32,Rnq1,deltaDD
20,2377,41,Rnq1,deltaDD
20,1800,56,Rnq1,deltaDD
40,1536,40,Rnq1,deltaDD
40,1445,86,Rnq1,deltaDD
40,1329,47,Rnq1,deltaDD
0,2422,794,Rnq1,Sis1
0,2244,426,Rnq1,Sis1
0,2504,888,Rnq1,Sis1
4,3619,799,Rnq1,Sis1
4,3318,1246,Rnq1,Sis1
4,3070,1113,Rnq1,Sis1
8,2573,1596,Rnq1,Sis1
8,2944,1212,Rnq1,Sis1
8,3105,1003,Rnq1,Sis1
12,2822,1050,Rnq1,Sis1
12,2007,1561,Rnq1,Sis1
12,2218,926,Rnq1,Sis1
20,1842,2044,Rnq1,Sis1
20,2149,1332,Rnq1,Sis1
20,2170,1358,Rnq1,Sis1
